blockgroup,assigned_location
560019627001,1288960889
560019627001,1288956554
560019627001,1288956484
560019627001,1288956484
560019627001,1288957841
560019627001,1288957819
560019627001,1288960841
560019627001,1288961421
560019627001,1288960876
560019627001,1288961430
560019627002,1288962058
560019627002,1288964131
560019627002,1288957606
560019627002,1288960568
560019627002,1288957976
560019627002,1288964396
560019627002,1288962058
560019627002,1288962058
560019627002,1288964401
560019627002,1288962058
560019627002,1288964396
560019627002,1288962058
560019627002,1288964396
560019627003,1288959613
560019627003,1288967864
560019627003,1288966881
560019627003,1288963926
560019627003,1288966882
560019627003,1288965418
560019627003,1288967419
560019627003,1288970183
560019627003,1288965429
560019627003,1288958785
560019627003,1288970140
560019627003,1288967863
560019627003,1288967868
560019627003,1288966843
560019627003,1288969000
560019627003,1288957533
560019627003,1288966881
560019627003,1288957185
560019627003,1288967868
560019628001,1288964211
560019628001,1288967206
560019628001,1288965043
560019628001,1288962951
560019628001,1288965432
560019628001,1288965432
560019628001,1288958244
560019628001,1288965291
560019628001,1288965432
560019628001,1288967206
560019628001,1288963025
560019628001,1288960280
560019628001,1411993303
560019628001,1288967206
560019628001,1288965432
560019628001,1411993251
560019628001,1288963030
560019628001,1288960254
560019628001,1411993251
560019628001,1288962946
560019628001,1411993303
560019629001,1288967947
560019629001,1288967035
560019629001,1288968791
560019629001,1288969380
560019629001,1288959127
560019629001,1288957148
560019629001,1288968816
560019629001,1288969382
560019629001,1288960553
560019629001,1288961215
560019629001,1288968820
560019629001,1288969974
560019629001,1288967941
560019629001,1288967897
560019629001,1288967044
560019629001,1288960553
560019629001,1288967904
560019629001,1288957150
560019629001,1288969937
560019629001,1288967955
560019629001,1288968793
560019629001,1288969996
560019629001,1288969947
560019629001,1288967962
560019629001,1288959135
560019629001,1288968837
560019629001,1288968836
560019629001,1288971112
560019629001,1288969377
560019629001,1288971099
560019629001,1288957150
560019629001,1288966999
560019629001,1288969392
560019629001,1288961239
560019629001,1288971082
560019629001,1288971093
560019629001,1288966841
560019629001,1288967873
560019629001,1288967976
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
560019635001,1288969411
